id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,96754.0,1913453367606,1,2030782195783,49130796649,98926.0,96556.0,-2009.715734321886,-2.03486,-40340924768.621826,-2.06475,19786721.0,21000000.0,21000000.0,99645.0,-2.9619,2024-11-22T19:35:49.770Z,67.81,142497.58477,2013-07-06T00:00:00.000Z,,2024-11-24T14:29:21.057Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3302.45,397479648111,2,397479648111,35299109745,3489.86,3294.64,-173.13158484476708,-4.98137,-20635752485.083923,-4.93542,120430905.515584,120430905.515584,,4878.26,-32.47382,2021-11-10T14:24:19.604Z,0.432979,760699.92316,2015-10-20T00:00:00.000Z,"{'times': 44.6191482809026, 'currency': 'btc', 'percentage': 4461.91482809026}",2024-11-24T14:29:25.729Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.001,132484135530,3,132484135530,119587078639,1.004,0.997974,-0.000463082986345897,-0.04624,207511830.0,0.15688,132437169724.178,132437169724.178,,1.32,-24.40228,2018-07-24T00:00:00.000Z,0.572521,74.70623,2015-03-02T00:00:00.000Z,,2024-11-24T14:29:20.822Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,245.69,116586215129,4,144619536188,8017887057,263.21,244.09,-15.45416902744978,-5.91788,-7367029205.488129,-5.94339,474752350.529126,588907227.683219,,263.21,-6.7032,2024-11-23T15:05:59.896Z,0.500801,48934.21412,2020-05-11T19:35:23.449Z,,2024-11-24T14:29:18.356Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,645.48,94086342490,5,94086342490,3277935083,684.25,640.53,-28.02661369131772,-4.1613,-4169056468.859207,-4.24308,145887575.79,145887575.79,200000000.0,717.48,-10.18096,2024-06-06T14:10:59.816Z,0.0398177,1618349.85669,2017-10-19T00:00:00.000Z,,2024-11-24T14:29:21.292Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.34,76708567505,6,134561631829,13670801809,1.58,1.31,-0.21502921065991298,-13.79024,-12218799249.952621,-13.7402,56998852241.0,99986987365.0,100000000000.0,3.4,-60.42218,2018-01-07T00:00:00.000Z,0.00268621,49971.81512,2014-05-22T00:00:00.000Z,,2024-11-24T14:29:18.054Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.409055,60090517264,7,60095985942,17359476146,0.466205,0.400994,-0.05327041183951414,-11.52227,-8051861504.839264,-11.81623,146911236383.705,146924606383.705,,0.731578,-44.03428,2021-05-08T05:08:23.458Z,8.69e-05,471033.81167,2015-05-06T00:00:00.000Z,,2024-11-24T14:29:28.040Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999846,38922916675,8,38923050305,5597905830,1.002,0.997262,-0.000180933378405856,-0.01809,23465465.0,0.06032,38961486346.5502,38961620108.4212,,1.17,-14.80876,2019-05-08T00:40:28.300Z,0.877647,13.83202,2023-03-11T08:02:13.981Z,,2024-11-24T14:29:22.927Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.979901,35066295692,9,44098900282,4777174470,1.14,0.973369,-0.1323384148510146,-11.89837,-4741107670.167969,-11.91012,35782826692.8246,45000000000.0,45000000000.0,3.09,-68.28851,2021-09-02T06:00:10.474Z,0.01925275,4984.49769,2020-03-13T02:22:55.044Z,,2024-11-24T14:29:22.039Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3304.39,32336660435,10,32336660435,83854174,3492.1,3301.41,-172.6930475035174,-4.96661,-1547599995.0655403,-4.56731,9788650.56594864,9788650.56594864,,4829.57,-31.68294,2021-11-10T14:40:47.256Z,482.9,583.25666,2020-12-22T04:08:21.854Z,,2024-11-24T14:29:18.836Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.203242,17543861936,11,17543892222,1902448163,0.222757,0.202966,-0.019455679815838123,-8.73638,-1681939329.689621,-8.74834,86342949828.6332,86343098886.442,,0.231673,-12.37906,2018-01-05T00:00:00.000Z,0.00180434,11150.29983,2017-11-12T00:00:00.000Z,"{'times': 105.9692183936901, 'currency': 'usd', 'percentage': 10596.92183936901}",2024-11-24T14:29:21.313Z
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,39.55,16188002847,12,17704633652,1565464850,43.46,39.03,-3.222064244970319,-7.53292,-1307842652.9426155,-7.47516,409188792.931806,447525104.985199,720000000.0,144.96,-72.6547,2021-11-21T14:18:56.538Z,2.8,1315.17944,2020-12-31T13:15:21.540Z,,2024-11-24T14:29:18.514Z
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,5.95,15144950643,14,30421305784,1583676674,6.58,5.89,-0.15311006600050447,-2.50912,-315207202.8705025,-2.03884,2546926850.39431,5115951999.68685,,8.25,-27.98523,2024-06-15T00:36:51.509Z,0.519364,1044.44171,2021-09-21T00:33:11.092Z,,2024-11-24T14:29:19.789Z
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1696501482,0.497941,15009431117,13,25006299758,12445016964,0.621168,0.453605,0.04044034,8.83941,1302321165.0,9.50106,30012372228.0991,50001786911.163,50001786911.163,0.875563,-41.99661,2018-01-03T00:00:00.000Z,0.00047612,106564.82486,2015-03-05T00:00:00.000Z,,2024-11-24T14:29:18.735Z
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,2.481e-05,14593027239,15,14599271565,2965143746,2.776e-05,2.459e-05,-2.683440240579e-06,-9.76091,-1709640336.1945782,-10.48687,589260304864799.2,589512448128376.4,,8.616e-05,-71.25858,2021-10-28T03:54:55.568Z,5.6366e-11,43932572.29127,2020-11-28T11:26:25.838Z,,2024-11-24T14:29:28.803Z
